1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.350,0.730,2.026
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
1.820,0.530,0.513
